Alta,40.5784,-111.6328,9895.0
Snowmass,39.18051,-106.95173,10520.0
Palisades Tahoe,39.18903,-120.26665,7972.0
Mammoth,37.64322,-119.02875,9652.0
Jackson Hole,43.5941,-110.85252,8481.0
Steamboat,40.45753,-106.76093,9240.0
Arapahoe Basin,39.63256,-105.87142,11660.0
Vail,39.61944,-106.37418,10000.0
Crested Butte,38.89364,-106.94693,10570.0
Mt Rainier,46.85198760727367,-121.75781514184523,14163.39
Kirkwood,38.674952538203996,-120.06563186645509,8520.34
Alpental,47.43984063479954,-121.43282890319826,3750.0
Wolf Creek,37.465214652256265,-106.79522037506105,11141.73
Whistler,50.10510461144674,-122.91426658630373,4708.01
Big Sky,45.278597115330456,-111.42003536224367,8375.98
Mt Bachelor,43.99484446109469,-121.67881965637208,7011.16
Mt Baker,48.855438124221564,-121.67163133621217,4799.87
Park City,40.62727127452033,-111.51238918304445,8195.54
Sun Valley,43.6644218570723,-114.38754558563234,7568.9
Timberline,45.33074175219152,-121.71330213546754,5885.83
Grand Targhee,43.78562228751043,-110.94135761260988,9166.67
Stevens Pass,47.73919168392988,-121.09605073928834,4478.35
Mt Rose,39.321180680443675,-119.88568782806398,8654.86
